created_at,content,lang,username,Cleaning,HapusEmoji,3/Lebih,CaseFolding,Normalization,Translated_Text,Sentiment_Label,Tokenizing,Stopword_Removal,Stemming
Mon May 13 06:46:19 +0000 2024,IKN Nusantara akan terapkan Smart Defense System BUMN PO Bus 10 di Bali Geby OBnya #jichangwook #LovelyRunnerEp11 #PrayForSumbar #menolaklupa271t https://t.co/JfXwRhdie1,in,Kahidar48,IKN Nusantara akan terapkan Smart Defense System BUMN PO Bus   di Bali Geby OBnya,IKN Nusantara akan terapkan Smart Defense System BUMN PO Bus   di Bali Geby OBnya,IKN Nusantara akan terapkan Smart Defense System BUMN PO Bus di Bali Geby OBnya,ikn nusantara akan terapkan smart defense system bumn po bus di bali geby obnya,ibu kota nusantara nusantara akan terapkan pintar defense sistem bumn po bus di bali geby obnya,Capital City of the Archipelago Nusantara will apply smart defense SOE PO Bus System in Bali Geby OB,Positive,"['ibu', 'kota', 'nusantara', 'nusantara', 'akan', 'terapkan', 'pintar', 'defense', 'sistem', 'bumn', 'po', 'bus', 'di', 'bali', 'geby', 'obnya']",kota nusantara nusantara terapkan pintar defense sistem bumn po bus bali geby obnya,kota nusantara nusantara terap pintar defense sistem bumn po bus bal geby obnya
Mon May 13 06:45:58 +0000 2024,Rencana Induk Keanekaragaman Hayati IKN BUMN PO Bus 10 di Bali Geby OBnya #jichangwook #LovelyRunnerEp11 #PrayForSumbar #menolaklupa271t https://t.co/qsCq76FmGD,in,Indonesiao1904,Rencana Induk Keanekaragaman Hayati IKN BUMN PO Bus   di Bali Geby OBnya,Rencana Induk Keanekaragaman Hayati IKN BUMN PO Bus   di Bali Geby OBnya,Rencana Induk Keanekaragaman Hayati IKN BUMN PO Bus di Bali Geby OBnya,rencana induk keanekaragaman hayati ikn bumn po bus di bali geby obnya,rencana induk keanekaragaman hayati ibu kota nusantara bumn po bus di bali geby obnya,Master Plan for Biodiversity of the Capital City of Nusantara BUMN PO Bus in Bali Geby OB,Negative,"['rencana', 'induk', 'keanekaragaman', 'hayati', 'ibu', 'kota', 'nusantara', 'bumn', 'po', 'bus', 'di', 'bali', 'geby', 'obnya']",rencana induk keanekaragaman hayati kota nusantara bumn po bus bali geby obnya,rencana induk keanekaragaman hayati kota nusantara bumn po bus bal geby obnya
Mon May 13 06:45:55 +0000 2024,@DokterTifa Harus nya presiden &amp,in,neneng_ham49754,Harus nya presiden &amp,Harus nya presiden &amp,Harus nya presiden &amp,harus nya presiden &amp,harus nya presiden &amp,the president must be,Negative,"['harus', 'nya', 'presiden', '&', 'amp']",presiden amp,presiden amp
Mon May 13 06:44:24 +0000 2024,Melalui Kolaborasi Pemerintah yang Kuat IKN Bakal Jadi Percontohan Zero Stunting #jatimdamai Geby PO Bus 10 di Bali #jichangwook #LovelyRunnerEp11 Lebih KEREN KitaKOMPAK #KawalWWF10 Sukseskan Agenda Nasional Ketan https://t.co/koK163dAD5,in,Indonesiao1904,Melalui Kolaborasi Pemerintah yang Kuat IKN Bakal Jadi Percontohan Zero Stunting   Geby PO Bus   di Bali     Lebih KEREN KitaKOMPAK   Sukseskan Agenda Nasional Ketan,Melalui Kolaborasi Pemerintah yang Kuat IKN Bakal Jadi Percontohan Zero Stunting   Geby PO Bus   di Bali     Lebih KEREN KitaKOMPAK   Sukseskan Agenda Nasional Ketan,Melalui Kolaborasi Pemerintah yang Kuat IKN Bakal Jadi Percontohan Zero Stunting Geby PO Bus di Bali Lebih KEREN KitaKOMPAK Sukseskan Agenda Nasional Ketan,melalui kolaborasi pemerintah yang kuat ikn bakal jadi percontohan zero stunting geby po bus di bali lebih keren kitakompak sukseskan agenda nasional ketan,melalui kolaborasi pemerintah yang kuat ibu kota nusantara bakal jadi percontohan zero stunting geby po bus di bali lebih keren kitakompak sukseskan agenda nasional ketan,"Through a strong government collaboration the capital city of the archipelago will be a pilot of zero stunting gebyo po bus in Bali, we will succeed",Positive,"['melalui', 'kolaborasi', 'pemerintah', 'yang', 'kuat', 'ibu', 'kota', 'nusantara', 'bakal', 'jadi', 'percontohan', 'zero', 'stunting', 'geby', 'po', 'bus', 'di', 'bali', 'lebih', 'keren', 'kitakompak', 'sukseskan', 'agenda', 'nasional', 'ketan']",kolaborasi pemerintah kuat kota nusantara percontohan zero stunting geby po bus bali keren kitakompak sukseskan agenda nasional ketan,kolaborasi perintah kuat kota nusantara contoh zero stunting geby po bus bal keren kitakompak sukses agenda nasional ketan
Mon May 13 06:43:05 +0000 2024,@DokterTifa Org yg bikin ikn lalu tdk ditempati harus bertanggung jawab mengembalikan uang negara jika tidak dia harus ditangkap ..,in,teropongbhnnka,Org yg bikin ikn lalu tdk ditempati harus bertanggung jawab mengembalikan uang negara jika tidak dia harus ditangkap,Org yg bikin ikn lalu tdk ditempati harus bertanggung jawab mengembalikan uang negara jika tidak dia harus ditangkap,Org yg bikin ikn lalu tdk ditempati harus bertanggung jawab mengembalikan uang negara jika tidak dia harus ditangkap,org yg bikin ikn lalu tdk ditempati harus bertanggung jawab mengembalikan uang negara jika tidak dia harus ditangkap,orang yang bikin ibu kota nusantara lalu tidak ditempati harus bertanggung jawab mengembalikan uang negara jika tidak dia harus ditangkap,the person who makes the capital city of the archipelago then not occupied must be responsible for returning state money if not he must be arrested,Positive,"['orang', 'yang', 'bikin', 'ibu', 'kota', 'nusantara', 'lalu', 'tidak', 'ditempati', 'harus', 'bertanggung', 'jawab', 'mengembalikan', 'uang', 'negara', 'jika', 'tidak', 'dia', 'harus', 'ditangkap']",orang bikin kota nusantara ditempati bertanggung mengembalikan uang negara ditangkap,orang bikin kota nusantara tempat tanggung kembali uang negara tangkap
Mon May 13 06:42:39 +0000 2024,Upaya Tingkatkan Perekonomian Warga Lokal Pemerintah Siapkan Sentra UMKM Upacara Kemerdekaan di IKN #jatimdamai Geby PO Bus 10 di Bali #jichangwook #LovelyRunnerEp11 Lebih KEREN KitaKOMPAK #KawalWWF10 Sukseskan Agenda Nasional Ketan https://t.co/QEAP1T4vtY,in,achang_ss,Upaya Tingkatkan Perekonomian Warga Lokal Pemerintah Siapkan Sentra UMKM Upacara Kemerdekaan di IKN   Geby PO Bus   di Bali     Lebih KEREN KitaKOMPAK   Sukseskan Agenda Nasional Ketan,Upaya Tingkatkan Perekonomian Warga Lokal Pemerintah Siapkan Sentra UMKM Upacara Kemerdekaan di IKN   Geby PO Bus   di Bali     Lebih KEREN KitaKOMPAK   Sukseskan Agenda Nasional Ketan,Upaya Tingkatkan Perekonomian Warga Lokal Pemerintah Siapkan Sentra UMKM Upacara Kemerdekaan di IKN Geby PO Bus di Bali Lebih KEREN KitaKOMPAK Sukseskan Agenda Nasional Ketan,upaya tingkatkan perekonomian warga lokal pemerintah siapkan sentra umkm upacara kemerdekaan di ikn geby po bus di bali lebih keren kitakompak sukseskan agenda nasional ketan,upaya tingkatkan perekonomian warga lokal pemerintah siapkan sentra umkm upacara kemerdekaan di ibu kota nusantara geby po bus di bali lebih keren kitakompak sukseskan agenda nasional ketan,Efforts to Improve the Economy of Local Citizens The Government Prepares the Center for UMKM Independence Ceremony in the Capital City of the Archipelago Geby Po Bus in Bali is Cool Kitakompak Successful National Agenda,Positive,"['upaya', 'tingkatkan', 'perekonomian', 'warga', 'lokal', 'pemerintah', 'siapkan', 'sentra', 'umkm', 'upacara', 'kemerdekaan', 'di', 'ibu', 'kota', 'nusantara', 'geby', 'po', 'bus', 'di', 'bali', 'lebih', 'keren', 'kitakompak', 'sukseskan', 'agenda', 'nasional', 'ketan']",upaya tingkatkan perekonomian warga lokal pemerintah siapkan sentra umkm upacara kemerdekaan kota nusantara geby po bus bali keren kitakompak sukseskan agenda nasional ketan,upaya tingkat ekonomi warga lokal perintah siap sentra umkm upacara merdeka kota nusantara geby po bus bal keren kitakompak sukses agenda nasional ketan
Mon May 13 06:41:54 +0000 2024,Tunda saya berarti tunda IKN. Sebab harus ada cockpit alias ruangan Divisi Direktur alias Ruang Komando.,in,impiangaruda17,Tunda saya berarti tunda IKN  Sebab harus ada cockpit alias ruangan Divisi Direktur alias Ruang Komando,Tunda saya berarti tunda IKN  Sebab harus ada cockpit alias ruangan Divisi Direktur alias Ruang Komando,Tunda saya berarti tunda IKN  Sebab harus ada cockpit alias ruangan Divisi Direktur alias Ruang Komando,tunda saya berarti tunda ikn  sebab harus ada cockpit alias ruangan divisi direktur alias ruang komando,tunda saya berarti tunda ibu kota nusantara sebab harus ada cockpit alias ruangan divisi direktur alias ruang komando,"Postponed me means postponed the capital city of the archipelago because there must be a cockpit alias the Director Division Room, aka the Command Room",Negative,"['tunda', 'saya', 'berarti', 'tunda', 'ibu', 'kota', 'nusantara', 'sebab', 'harus', 'ada', 'cockpit', 'alias', 'ruangan', 'divisi', 'direktur', 'alias', 'ruang', 'komando']",tunda tunda kota nusantara cockpit alias ruangan divisi direktur alias ruang komando,tunda tunda kota nusantara cockpit alias ruang divisi direktur alias ruang komando
Mon May 13 06:41:48 +0000 2024,@geloraco Antum mau ke IKN ???,in,vexcalabran,Antum mau ke IKN,Antum mau ke IKN,Antum mau ke IKN,antum mau ke ikn,antum mau ke ibu kota nusantara,you want to go to the capital city of the archipelago,Negative,"['antum', 'mau', 'ke', 'ibu', 'kota', 'nusantara']",antum kota nusantara,antum kota nusantara
Mon May 13 06:41:38 +0000 2024,sini main ke IKN ,in,komandogarudari,sini main ke IKN,sini main ke IKN,sini main ke IKN,sini main ke ikn,sini main ke ibu kota nusantara,here to play to the capital city of the archipelago,Negative,"['sini', 'main', 'ke', 'ibu', 'kota', 'nusantara']",main kota nusantara,main kota nusantara
Mon May 13 06:41:13 +0000 2024,@DokterTifa Lah kan gedung DPR di IKN blm di bangun makanya blm pindah. Bgm sih ini dokter koq lalod banget sih,in,suarakb45,Lah kan gedung DPR di IKN blm di bangun makanya blm pindah  Bgm sih ini dokter koq lalod banget sih,Lah kan gedung DPR di IKN blm di bangun makanya blm pindah  Bgm sih ini dokter koq lalod banget sih,Lah kan gedung DPR di IKN blm di bangun makanya blm pindah  Bgm sih ini dokter koq lalod banget sih,lah kan gedung dpr di ikn blm di bangun makanya blm pindah  bgm sih ini dokter koq lalod banget sih,lah kan gedung dpr di ibu kota nusantara belum di bangun makanya belum pindah bgm sih ini dokter kok lalod banget sih,"it's the DPR building in the capital city of the archipelago, so it's not yet built so this is a doctor, how come it's really lalod",Positive,"['lah', 'kan', 'gedung', 'dpr', 'di', 'ibu', 'kota', 'nusantara', 'belum', 'di', 'bangun', 'makanya', 'belum', 'pindah', 'bgm', 'sih', 'ini', 'dokter', 'kok', 'lalod', 'banget', 'sih']",gedung dpr kota nusantara bangun pindah bgm dokter lalod banget,gedung dpr kota nusantara bangun pindah bgm dokter lalod banget
Mon May 13 06:41:12 +0000 2024,@DokterTifa Ha hah ha ha ha ha pendukung Jokowi tuuuuh IKN wkwkwkwk,in,SalomoMr1,Ha hah ha ha ha ha pendukung Jokowi tuuuuh IKN wkwkwkwk,Ha hah ha ha ha ha pendukung Jokowi tuuuuh IKN wkwkwkwk,Ha hah ha ha ha ha pendukung Jokowi tuh IKN wkwkwkwk,ha hah ha ha ha ha pendukung jokowi tuh ikn wkwkwkwk,tertawa hah tertawa tertawa tertawa tertawa pendukung jokowi tuh ibu kota nusantara tertawa,Laughing Hah Laughing Laughing Laughing Laughing Supporters of Jokowi Tuh The Capital City,Negative,"['tertawa', 'hah', 'tertawa', 'tertawa', 'tertawa', 'tertawa', 'pendukung', 'jokowi', 'tuh', 'ibu', 'kota', 'nusantara', 'tertawa']",tertawa hah tertawa tertawa tertawa tertawa pendukung jokowi kota nusantara tertawa,tertawa hah tertawa tertawa tertawa tertawa dukung jokowi kota nusantara tertawa
Mon May 13 06:41:09 +0000 2024,@geloraco Telan Dana Rp4 2 Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa dan Rakyat yg harus bayar biayanya,in,BubbleX695699,Telan Dana Rp    Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa dan Rakyat yg harus bayar biayanya,Telan Dana Rp    Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa dan Rakyat yg harus bayar biayanya,Telan Dana Rp Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa dan Rakyat yg harus bayar biayanya,telan dana rp triliun bandara vvip ikn hanya untuk melayani tamu penting negara rakyat tak bisa dan rakyat yg harus bayar biayanya,telan dana rupiah triliun bandara vvip ibu kota nusantara hanya untuk melayani tamu penting negara rakyat tidak bisa dan rakyat yang harus bayar biayanya,Swallow the Rupiah Fund Trillion VVIP Airport Capital City Nusantara is only to serve important guests of the People's State Cannot and the people must pay the costs,Positive,"['telan', 'dana', 'rupiah', 'triliun', 'bandara', 'vvip', 'ibu', 'kota', 'nusantara', 'hanya', 'untuk', 'melayani', 'tamu', 'penting', 'negara', 'rakyat', 'tidak', 'bisa', 'dan', 'rakyat', 'yang', 'harus', 'bayar', 'biayanya']",telan dana rupiah triliun bandara vvip kota nusantara melayani tamu negara rakyat rakyat bayar biayanya,telan dana rupiah triliun bandara vvip kota nusantara layan tamu negara rakyat rakyat bayar biaya
Mon May 13 06:41:06 +0000 2024,Proyek IKN berhasil menurukan Angka Kemiskinan Ekstrem du Kalimantan Timur BUMN PO Bus 10 di Bali Geby OBnya #jichangwook #LovelyRunnerEp11 #PrayForSumbar #menolaklupa271t https://t.co/pghsotsBG8,in,llsusanto,Proyek IKN berhasil menurukan Angka Kemiskinan Ekstrem du Kalimantan Timur BUMN PO Bus   di Bali Geby OBnya,Proyek IKN berhasil menurukan Angka Kemiskinan Ekstrem du Kalimantan Timur BUMN PO Bus   di Bali Geby OBnya,Proyek IKN berhasil menurukan Angka Kemiskinan Ekstrem du Kalimantan Timur BUMN PO Bus di Bali Geby OBnya,proyek ikn berhasil menurukan angka kemiskinan ekstrem du kalimantan timur bumn po bus di bali geby obnya,proyek ibu kota nusantara berhasil menurukan angka kemiskinan ekstrem du kalimantan timur bumn po bus di bali geby obnya,The Capital City Project Nusantara succeeded in reducing extreme poverty rates in East Kalimantan BUMN PO Bus in Bali Geby OB,Negative,"['proyek', 'ibu', 'kota', 'nusantara', 'berhasil', 'menurukan', 'angka', 'kemiskinan', 'ekstrem', 'du', 'kalimantan', 'timur', 'bumn', 'po', 'bus', 'di', 'bali', 'geby', 'obnya']",proyek kota nusantara berhasil menurukan angka kemiskinan ekstrem du kalimantan timur bumn po bus bali geby obnya,proyek kota nusantara hasil menurukan angka miskin ekstrem du kalimantan timur bumn po bus bal geby obnya
Mon May 13 06:40:44 +0000 2024,Telan Dana Rp4 2 Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa https://t.co/jiDHpSTWSX,in,FatimahKanya,Telan Dana Rp    Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa,Telan Dana Rp    Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa,Telan Dana Rp Triliun Bandara VVIP IKN Hanya untuk Melayani Tamu Penting Negara Rakyat Tak Bisa,telan dana rp triliun bandara vvip ikn hanya untuk melayani tamu penting negara rakyat tak bisa,telan dana rupiah triliun bandara vvip ibu kota nusantara hanya untuk melayani tamu penting negara rakyat tidak bisa,"Swallow the Rupiah Rupiah Trillion VVIP Airport, the Capital City of the Archipelago, only to serve important guests",Positive,"['telan', 'dana', 'rupiah', 'triliun', 'bandara', 'vvip', 'ibu', 'kota', 'nusantara', 'hanya', 'untuk', 'melayani', 'tamu', 'penting', 'negara', 'rakyat', 'tidak', 'bisa']",telan dana rupiah triliun bandara vvip kota nusantara melayani tamu negara rakyat,telan dana rupiah triliun bandara vvip kota nusantara layan tamu negara rakyat
Mon May 13 06:38:00 +0000 2024,IKN Nusantara akan jadi hunian untuk generasi Indonesia di masa depan #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/grOT26UcRH,in,RepelitaO,IKN Nusantara akan jadi hunian untuk generasi Indonesia di masa depan,IKN Nusantara akan jadi hunian untuk generasi Indonesia di masa depan,IKN Nusantara akan jadi hunian untuk generasi Indonesia di masa depan,ikn nusantara akan jadi hunian untuk generasi indonesia di masa depan,ibu kota nusantara nusantara akan jadi hunian untuk generasi indonesia di masa depan,The Capital City of the Archipelago Nusantara will be a residence for the Indonesian generation in the future,Negative,"['ibu', 'kota', 'nusantara', 'nusantara', 'akan', 'jadi', 'hunian', 'untuk', 'generasi', 'indonesia', 'di', 'masa', 'depan']",kota nusantara nusantara hunian generasi indonesia,kota nusantara nusantara huni generasi indonesia
Mon May 13 06:37:08 +0000 2024,Mau kerja di IKN :3,in,gerbang_utama,Mau kerja di IKN,Mau kerja di IKN,Mau kerja di IKN,mau kerja di ikn,mau kerja di ibu kota nusantara,want to work in the capital city of the archipelago,Negative,"['mau', 'kerja', 'di', 'ibu', 'kota', 'nusantara']",kerja kota nusantara,kerja kota nusantara
Mon May 13 06:35:42 +0000 2024,Sisi Gelap IKN di Kaltim Pengamat: Warga Sekitar Ibarat Penonton Miskin Saksikan Kemegahan IKN https://t.co/lv4vLUDFPB lewat @tribunnews #IKN #Kaltim #nusantara #PPU,in,cucteu,Sisi Gelap IKN di Kaltim Pengamat  Warga Sekitar Ibarat Penonton Miskin Saksikan Kemegahan IKN   lewat,Sisi Gelap IKN di Kaltim Pengamat  Warga Sekitar Ibarat Penonton Miskin Saksikan Kemegahan IKN   lewat,Sisi Gelap IKN di Kaltim Pengamat  Warga Sekitar Ibarat Penonton Miskin Saksikan Kemegahan IKN lewat,sisi gelap ikn di kaltim pengamat  warga sekitar ibarat penonton miskin saksikan kemegahan ikn lewat,sisi gelap ibu kota nusantara di kaltim pengamat warga sekitar ibarat penonton miskin saksikan kemegahan ibu kota nusantara lewat,The dark side of the capital city of the archipelago in East Kalimantan observer residents around like a poor audience witnessed the splendor of the capital city of the archipelago,Negative,"['sisi', 'gelap', 'ibu', 'kota', 'nusantara', 'di', 'kaltim', 'pengamat', 'warga', 'sekitar', 'ibarat', 'penonton', 'miskin', 'saksikan', 'kemegahan', 'ibu', 'kota', 'nusantara', 'lewat']",sisi gelap kota nusantara kaltim pengamat warga penonton miskin saksikan kemegahan kota nusantara,sisi gelap kota nusantara kaltim amat warga tonton miskin saksi megah kota nusantara
Mon May 13 06:35:01 +0000 2024,@geloraco Sepertinya Pak @prabowo keberatan melanjutkan Proyek IKN dari dana APBN.,in,tribunkaltim,Sepertinya Pak  keberatan melanjutkan Proyek IKN dari dana APBN,Sepertinya Pak  keberatan melanjutkan Proyek IKN dari dana APBN,Sepertinya Pak  keberatan melanjutkan Proyek IKN dari dana APBN,sepertinya pak  keberatan melanjutkan proyek ikn dari dana apbn,sepertinya pak keberatan melanjutkan proyek ibu kota nusantara dari dana apbn,Looks like Mr. Objection to continue the Capital City Project from the APBN Fund,Negative,"['sepertinya', 'pak', 'keberatan', 'melanjutkan', 'proyek', 'ibu', 'kota', 'nusantara', 'dari', 'dana', 'apbn']",keberatan melanjutkan proyek kota nusantara dana apbn,berat lanjut proyek kota nusantara dana apbn
Mon May 13 06:31:16 +0000 2024,@womensfootie_id Oh pantesan yg di ikn pun rumah pejabat² nya dibuat gede-gede ternyata biar kita termotivasi toh...,in,hasanudinsajid,Oh pantesan yg di ikn pun rumah pejabat² nya dibuat gede gede ternyata biar kita termotivasi toh,Oh pantesan yg di ikn pun rumah pejabat nya dibuat gede gede ternyata biar kita termotivasi toh,Oh pantesan yg di ikn pun rumah pejabat nya dibuat gede gede ternyata biar kita termotivasi toh,oh pantesan yg di ikn pun rumah pejabat nya dibuat gede gede ternyata biar kita termotivasi toh,oh pantesan yang di ibu kota nusantara pun rumah pejabat nya dibuat gede gede ternyata biar kita termotivasi toh,"oh the pantesan in the capital city of the archipelago even the official home of the official was made big, it turned out that we were motivated",Negative,"['oh', 'pantesan', 'yang', 'di', 'ibu', 'kota', 'nusantara', 'pun', 'rumah', 'pejabat', 'nya', 'dibuat', 'gede', 'gede', 'ternyata', 'biar', 'kita', 'termotivasi', 'toh']",oh pantesan kota nusantara rumah pejabat gede gede biar termotivasi,oh pantesan kota nusantara rumah jabat gede gede biar motivasi
Mon May 13 06:28:41 +0000 2024,Pemerintah Kabupaten Penajam Paser Utara Provinsi Kalimantan Timur membatu pelaku usaha mikro kecil menengah (UMKM) di daerah berjuluk Benuo Taka itu agar dapat bersaing menangkap peluang usaha dengan adanya Ibu Kota Nusantara (IKN). https://t.co/x9YAU5EIsO,in,posaktualcom,Pemerintah Kabupaten Penajam Paser Utara Provinsi Kalimantan Timur membatu pelaku usaha mikro kecil menengah  UMKM  di daerah berjuluk Benuo Taka itu agar dapat bersaing menangkap peluang usaha dengan adanya Ibu Kota Nusantara  IKN,Pemerintah Kabupaten Penajam Paser Utara Provinsi Kalimantan Timur membatu pelaku usaha mikro kecil menengah  UMKM  di daerah berjulukBenuo Takaitu agar dapat bersaing menangkap peluang usaha dengan adanya Ibu Kota Nusantara  IKN,Pemerintah Kabupaten Penajam Paser Utara Provinsi Kalimantan Timur membatu pelaku usaha mikro kecil menengah  UMKM  di daerah berjulukBenuo Takaitu agar dapat bersaing menangkap peluang usaha dengan adanya Ibu Kota Nusantara  IKN,pemerintah kabupaten penajam paser utara provinsi kalimantan timur membatu pelaku usaha mikro kecil menengah  umkm  di daerah berjulukbenuo takaitu agar dapat bersaing menangkap peluang usaha dengan adanya ibu kota nusantara  ikn,pemerintah kabupaten penajam paser utara provinsi kalimantan timur bantu pelaku usaha mikro kecil menengah umkm di daerah berjulukbenuo takaitu agar dapat bersaing menangkap peluang usaha dengan adanya ibu kota nusantara ibu kota nusantara,The North Penajam Paser Regency Government of East Kalimantan Province helps MSME Micro Small and Medium Enterprises in the area nicknamed Benuo Takaitu in order to compete to capture business opportunities with the existence of the Capital City of the Archipelago Capital City,Negative,"['pemerintah', 'kabupaten', 'penajam', 'paser', 'utara', 'provinsi', 'kalimantan', 'timur', 'bantu', 'pelaku', 'usaha', 'mikro', 'kecil', 'menengah', 'umkm', 'di', 'daerah', 'berjulukbenuo', 'takaitu', 'agar', 'dapat', 'bersaing', 'menangkap', 'peluang', 'usaha', 'dengan', 'adanya', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'nusantara']",pemerintah kabupaten penajam paser utara provinsi kalimantan timur bantu pelaku usaha mikro menengah umkm daerah berjulukbenuo takaitu bersaing menangkap peluang usaha kota nusantara kota nusantara,perintah kabupaten najam paser utara provinsi kalimantan timur bantu laku usaha mikro tengah umkm daerah berjulukbenuo takaitu saing tangkap peluang usaha kota nusantara kota nusantara
Mon May 13 06:27:39 +0000 2024,@strike_bravo_b Yang disurvei warga IKN,in,beritajurnal5,Yang disurvei warga IKN,Yang disurvei warga IKN,Yang disurvei warga IKN,yang disurvei warga ikn,yang disurvei warga ibu kota nusantara,who was surveyed by residents of the Capital City of the Archipelago,Negative,"['yang', 'disurvei', 'warga', 'ibu', 'kota', 'nusantara']",disurvei warga kota nusantara,survei warga kota nusantara
Mon May 13 06:27:28 +0000 2024,@detikcom Pdhl ada yg mau bangun 40 kota setara jkt.. malah milih yg bangun IKN.. wkwkkw,in,ADavidPrasetyo,Pdhl ada yg mau bangun   kota setara jkt   malah milih yg bangun IKN   wkwkkw,Pdhl ada yg mau bangun   kota setara jkt   malah milih yg bangun IKN   wkwkkw,Pdhl ada yg mau bangun kota setara jkt malah milih yg bangun IKN wkwkkw,pdhl ada yg mau bangun kota setara jkt malah milih yg bangun ikn wkwkkw,padahal ada yang mau bangun kota setara jakarta bahkan milih yang bangun ibu kota nusantara tertawa,even though someone wants to build a city equivalent to Jakarta and even choose the one who built the capital city of the archipelago to laugh,Positive,"['padahal', 'ada', 'yang', 'mau', 'bangun', 'kota', 'setara', 'jakarta', 'bahkan', 'milih', 'yang', 'bangun', 'ibu', 'kota', 'nusantara', 'tertawa']",bangun kota setara jakarta milih bangun kota nusantara tertawa,bangun kota tara jakarta milih bangun kota nusantara tertawa
Mon May 13 06:24:37 +0000 2024,@T0M5helby Jgn ukur dengan pikiranmu..IKN keputusan bersama.,in,ithapuspit4,Jgn ukur dengan pikiranmu  IKN keputusan bersama,Jgn ukur dengan pikiranmu  IKN keputusan bersama,Jgn ukur dengan pikiranmu  IKN keputusan bersama,jgn ukur dengan pikiranmu  ikn keputusan bersama,jangan ukur dengan pikiranmu ibu kota nusantara keputusan bersama,do not measure with your mind the capital city of the archipelago joint decision,Negative,"['jangan', 'ukur', 'dengan', 'pikiranmu', 'ibu', 'kota', 'nusantara', 'keputusan', 'bersama']",ukur pikiranmu kota nusantara keputusan,ukur pikir kota nusantara putus
Mon May 13 06:22:57 +0000 2024,@jimincarrd Hehe ikn I'm amajin,in,BObriansyah,Hehe ikn I m amajin,Hehe ikn I m amajin,Hehe ikn I m amajin,hehe ikn i m amajin,he ibu kota nusantara i m amajin,he the capital city of the archipelago i m amajin,Negative,"['he', 'ibu', 'kota', 'nusantara', 'i', 'm', 'amajin']",kota nusantara i amajin,kota nusantara i amajin
Mon May 13 06:14:45 +0000 2024,@democrazymedia Kenapa ndak kirim sampah ke IKN aja pak mereka lagi butuh material..,in,taketwohershey,Kenapa ndak kirim sampah ke IKN aja pak mereka lagi butuh material,Kenapa ndak kirim sampah ke IKN aja pak mereka lagi butuh material,Kenapa ndak kirim sampah ke IKN aja pak mereka lagi butuh material,kenapa ndak kirim sampah ke ikn aja pak mereka lagi butuh material,kenapa tidak kirim sampah ke ibu kota nusantara saja pak mereka lagi butuh material,"Why not send trash to the capital city of the archipelago, sir, they need material again",Negative,"['kenapa', 'tidak', 'kirim', 'sampah', 'ke', 'ibu', 'kota', 'nusantara', 'saja', 'pak', 'mereka', 'lagi', 'butuh', 'material']",kirim sampah kota nusantara butuh material,kirim sampah kota nusantara butuh material
